xs,ys
-4325249.054905496,1.1032756449413325e-05
-4325179.047904795,1.0991337803392342e-05
-4325109.040904095,1.0949873138488482e-05
-4325039.033903395,1.0908363300909646e-05
-4324969.026902695,1.0866809138511917e-05
-4324899.019901995,1.082521150078047e-05
-4324829.012901295,1.0783571238819539e-05
-4324759.005900594,1.074188920533318e-05
-4324688.998899895,1.0700166254615183e-05
-4324618.991899194,1.0658403242529759e-05
-4324548.984898495,1.0616601026501344e-05
-4324478.977897794,1.0574760465495238e-05
-4324408.970897094,1.053288242000722e-05
-4324338.963896395,1.0490967752044772e-05
-4324268.956895694,1.044901732511393e-05
-4324198.9498949945,1.040703200420571e-05
-4324128.942894294,1.0365012655777385e-05
-4324058.935893594,1.0322960147741992e-05
-4323988.928892894,1.0280875349448484e-05
-4323918.921892194,1.0238759131671221e-05
-4323848.9148914935,1.0196612366590333e-05
-4323778.907890794,1.0154435927781006e-05
-4323708.900890093,1.0112230690193626e-05
-4323638.893889394,1.0069997530143123e-05
-4323568.886888693,1.0027737325289033e-05
-4323498.879887993,9.98545095462464e-06
-4323428.872887294,9.943139298457719e-06
-4323358.865886593,9.900803238396639e-06
-4323288.858885894,9.85844365733682e-06
-4323218.851885193,9.81606143944093e-06
-4323148.844884493,9.77365747012812e-06
-4323078.837883793,9.73123263605379e-06
-4323008.830883093,9.68878782509845e-06
-4322938.823882393,9.646323926347636e-06
-4322868.816881693,9.603841830080725e-06
-4322798.809880992,9.561342427750553e-06
-4322728.802880293,9.518826611972337e-06
-4322658.795879592,9.47629527650318e-06
-4322588.788878893,9.433749316230916e-06
-4322518.781878192,9.391189627153546e-06
-4322448.774877492,9.348617106368028e-06
-4322378.767876793,9.306032652050218e-06
-4322308.760876092,9.263437163440694e-06
-4322238.7538753925,9.22083154083033e-06
-4322168.746874692,9.178216685540532e-06
-4322098.739873992,9.135593499911356e-06
-4322028.732873292,9.092962887281109e-06
-4321958.725872592,9.050325751974714e-06
-4321888.7188718915,9.007682999282879e-06
-4321818.711871192,8.965035535450586e-06
-4321748.704870491,8.922384267656171e-06
-4321678.697869792,8.879730103999731e-06
-4321608.690869091,8.83707395348215e-06
-4321538.683868391,8.794416725993449e-06
-4321468.676867692,8.75175933229234e-06
-4321398.669866991,8.7091026839916e-06
-4321328.662866292,8.666447693543304e-06
-4321258.655865591,8.623795274218451e-06
-4321188.648864891,8.581146340095027e-06
-4321118.641864191,8.538501806037e-06
-4321048.634863491,8.495862587682091e-06
-4320978.627862791,8.453229601421057e-06
-4320908.620862091,8.410603764385237e-06
-4320838.61386139,8.367985994425661e-06
-4320768.606860691,8.325377210100887e-06
-4320698.59985999,8.282778330655709e-06
-4320628.592859291,8.240190276009e-06
-4320558.585858591,8.197613966733178e-06
-4320488.57885789,8.155050324038935e-06
-4320418.571857191,8.11250026976019e-06
-4320348.56485649,8.069964726333512e-06
-4320278.5578557905,8.027444616785608e-06
-4320208.55085509,7.984940864711992e-06
-4320138.54385439,7.942454394264606e-06
-4320068.53685369,7.899986130130457e-06
-4319998.52985299,7.857536997519198e-06
-4319928.5228522895,7.815107922141552e-06
-4319858.51585159,7.772699830196983e-06
-4319788.508850889,7.730313648352081e-06
-4319718.50185019,7.687950303727992e-06
-4319648.49484949,7.64561072387967e-06
-4319578.487848789,7.60329583678018e-06
-4319508.48084809,7.5610065708055334e-06
-4319438.473847389,7.518743854713454e-06
-4319368.46684669,7.476508617630896e-06
-4319298.459845989,7.434301789032269e-06
-4319228.452845289,7.39212429872675e-06
-4319158.445844589,7.349977076836668e-06
-4319088.438843889,7.307861053784756e-06
-4319018.431843189,7.2657771602723195e-06
-4318948.424842489,7.223726327266572e-06
-4318878.417841788,7.1817094859788836e-06
-4318808.410841089,7.139727567851762e-06
-4318738.403840389,7.097781504537836e-06
-4318668.3968396885,7.055872227884071e-06
-4318598.389838989,7.014000669916171e-06
-4318528.382838288,6.9721677628171645e-06
-4318458.375837589,6.930374438914628e-06
-4318388.368836888,6.888621630658685e-06
-4318318.3618361885,6.846910270609054e-06
-4318248.354835488,6.805241291413166e-06
-4318178.347834788,6.763615625793296e-06
-4318108.340834088,6.722034206524365e-06
-4318038.333833388,6.680497966421005e-06
-4317968.3268326875,6.6390078383156775e-06
-4317898.319831988,6.597564755045529e-06
-4317828.312831287,6.55616964943037e-06
-4317758.305830588,6.514823454259641e-06
-4317688.298829888,6.4735271022708636e-06
-4317618.291829187,6.432281526133814e-06
-4317548.284828488,6.391087658434427e-06
-4317478.277827787,6.349946431653572e-06
-4317408.270827088,6.308858778153608e-06
-4317338.263826387,6.267825630156398e-06
-4317268.256825687,6.226847919730135e-06
-4317198.249824987,6.185926578767197e-06
-4317128.242824287,6.145062538970852e-06
-4317058.235823587,6.104256731833262e-06
-4316988.228822887,6.063510088622148e-06
-4316918.221822186,6.022823540358621e-06
-4316848.214821487,5.982198017803952e-06
-4316778.207820787,5.941634451437881e-06
-4316708.2008200865,5.901133771442727e-06
-4316638.193819387,5.860696907686968e-06
-4316568.186818686,5.8203247897039284e-06
-4316498.179817987,5.780018346678278e-06
-4316428.172817286,5.7397785074238804e-06
-4316358.165816586,5.699606200370292e-06
-4316288.158815886,5.6595023535408764e-06
-4316218.151815186,5.6194678945389806e-06
-4316148.144814486,5.579503750526072e-06
-4316078.137813786,5.5396108482081455e-06
-4316008.1308130855,5.499790113813565e-06
-4315938.123812386,5.460042473079593e-06
-4315868.116811686,5.42036885123073e-06
-4315798.109810986,5.380770172962525e-06
-4315728.102810286,5.341247362425344e-06
